Na,Ca,K,Mg,Cu,Ni,Zn,Cu_pred,Cu_err,Ni_pred,Ni_err,Zn_pred,Zn_err
0.0,0.0,250.0,0.0,0.0,0.0,0.0,-0.38,-0.38,0.235,0.235,0.0368,0.0368
0.0,0.0,375.0,0.0,0.0,0.0,0.0,-0.306,-0.306,0.318,0.318,0.138,0.138
0.0,0.0,375.0,0.0,0.0,0.0,0.0,-0.399,-0.399,0.161,0.161,0.0903,0.0903
0.0,0.0,375.0,0.0,0.0,0.0,0.0,-0.333,-0.333,0.11,0.11,0.0781,0.0781
0.0,0.0,500.0,0.0,0.0,0.0,0.0,-0.394,-0.394,0.222,0.222,0.124,0.124
0.0,0.0,500.0,0.0,0.0,0.0,0.0,-0.381,-0.381,0.3,0.3,0.117,0.117
0.0,0.0,500.0,0.0,0.0,0.0,0.0,-0.344,-0.344,0.151,0.151,0.0934,0.0934
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.756,-0.244,1.01,0.0109,0.999,-0.000645
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.844,-0.156,1.0,0.00104,1.05,0.0504
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8,-0.2,0.967,-0.0329,1.05,0.0534
0.0,0.0,125.0,0.0,1.0,1.0,1.0,0.639,-0.361,0.712,-0.288,0.849,-0.151
0.0,0.0,125.0,0.0,1.0,1.0,1.0,0.583,-0.417,0.915,-0.0851,0.849,-0.151
0.0,0.0,125.0,0.0,1.0,1.0,1.0,0.668,-0.332,0.837,-0.163,0.843,-0.157
0.0,0.0,250.0,0.0,1.0,1.0,1.0,0.539,-0.461,0.814,-0.186,0.954,-0.046
0.0,0.0,250.0,0.0,1.0,1.0,1.0,0.529,-0.471,0.843,-0.157,0.91,-0.0901
0.0,0.0,250.0,0.0,1.0,1.0,1.0,0.527,-0.473,0.77,-0.23,0.892,-0.108
0.0,0.0,375.0,0.0,1.0,1.0,1.0,0.508,-0.492,0.831,-0.169,1.09,0.089
0.0,0.0,375.0,0.0,1.0,1.0,1.0,0.562,-0.438,0.924,-0.076,1.05,0.046
0.0,0.0,375.0,0.0,1.0,1.0,1.0,0.536,-0.464,0.903,-0.0969,1.03,0.0313
0.0,0.0,500.0,0.0,1.0,1.0,1.0,0.48,-0.52,0.732,-0.268,1.17,0.174
0.0,0.0,500.0,0.0,1.0,1.0,1.0,0.503,-0.497,0.721,-0.279,1.25,0.252
0.0,0.0,500.0,0.0,1.0,1.0,1.0,0.453,-0.547,0.662,-0.338,1.18,0.177
0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.81,-0.195,1.9,-0.101,1.97,-0.0267
0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.91,-0.0895,1.99,-0.0119,2.04,0.0406
0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.91,-0.085,1.92,-0.0842,2.05,0.0526
0.0,0.0,125.0,0.0,2.0,2.0,2.0,1.59,-0.411,1.48,-0.516,1.76,-0.239
0.0,0.0,125.0,0.0,2.0,2.0,2.0,1.71,-0.289,1.65,-0.352,1.84,-0.156
0.0,0.0,125.0,0.0,2.0,2.0,2.0,1.59,-0.407,1.54,-0.46,1.9,-0.104
0.0,0.0,250.0,0.0,2.0,2.0,2.0,1.45,-0.551,1.36,-0.64,1.89,-0.107
0.0,0.0,250.0,0.0,2.0,2.0,2.0,1.42,-0.579,1.47,-0.526,1.87,-0.128
0.0,0.0,250.0,0.0,2.0,2.0,2.0,1.54,-0.46,1.49,-0.51,2.08,0.0773
0.0,0.0,375.0,0.0,2.0,2.0,2.0,1.41,-0.591,1.34,-0.655,2.05,0.0462
0.0,0.0,375.0,0.0,2.0,2.0,2.0,1.46,-0.538,1.48,-0.521,2.19,0.192
0.0,0.0,375.0,0.0,2.0,2.0,2.0,1.48,-0.525,1.42,-0.58,2.16,0.157
0.0,0.0,500.0,0.0,2.0,2.0,2.0,1.26,-0.745,1.27,-0.73,2.11,0.11
0.0,0.0,500.0,0.0,2.0,2.0,2.0,1.37,-0.634,1.28,-0.723,2.36,0.361
0.0,0.0,500.0,0.0,2.0,2.0,2.0,1.32,-0.675,1.34,-0.659,2.19,0.19
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.01,0.00558,3.02,0.0192,3.08,0.0772
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,-0.0025,3.03,0.0321,3.17,0.17
0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.88,-0.117,3.28,0.276,3.16,0.157
0.0,0.0,125.0,0.0,3.0,3.0,3.0,2.52,-0.48,2.58,-0.415,2.61,-0.392
0.0,0.0,125.0,0.0,3.0,3.0,3.0,2.54,-0.459,2.36,-0.64,2.61,-0.388
0.0,0.0,125.0,0.0,3.0,3.0,3.0,2.58,-0.419,2.62,-0.38,2.78,-0.218
0.0,0.0,250.0,0.0,3.0,3.0,3.0,2.39,-0.615,2.46,-0.543,2.92,-0.0839
0.0,0.0,250.0,0.0,3.0,3.0,3.0,2.4,-0.602,2.28,-0.719,2.83,-0.168
0.0,0.0,250.0,0.0,3.0,3.0,3.0,2.43,-0.572,2.28,-0.715,2.91,-0.0905
0.0,0.0,375.0,0.0,3.0,3.0,3.0,2.3,-0.696,2.24,-0.764,3.22,0.215
0.0,0.0,375.0,0.0,3.0,3.0,3.0,2.32,-0.676,2.28,-0.718,3.24,0.245
0.0,0.0,375.0,0.0,3.0,3.0,3.0,2.39,-0.612,2.16,-0.838,3.16,0.158
0.0,0.0,500.0,0.0,3.0,3.0,3.0,2.12,-0.876,2.06,-0.937,3.26,0.265
0.0,0.0,500.0,0.0,3.0,3.0,3.0,2.21,-0.791,2.24,-0.757,3.25,0.251
0.0,0.0,500.0,0.0,3.0,3.0,3.0,2.17,-0.83,1.96,-1.04,3.37,0.372
0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.96,-0.0444,4.27,0.267,4.15,0.155
0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.98,-0.0179,4.43,0.428,4.15,0.152
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.14,0.141,4.21,0.212,4.24,0.242
0.0,0.0,125.0,0.0,4.0,4.0,4.0,3.41,-0.587,3.38,-0.623,3.61,-0.388
0.0,0.0,125.0,0.0,4.0,4.0,4.0,3.5,-0.505,3.68,-0.317,3.69,-0.313
0.0,0.0,125.0,0.0,4.0,4.0,4.0,3.51,-0.494,3.77,-0.227,3.68,-0.323
0.0,0.0,250.0,0.0,4.0,4.0,4.0,3.26,-0.738,3.16,-0.837,3.92,-0.0753
0.0,0.0,250.0,0.0,4.0,4.0,4.0,3.25,-0.749,3.14,-0.861,3.82,-0.178
